Speaker1,Speaker2
i chose the wrong passage .,she can see the beast !
hey ! we re gettin married !,right now everything i own !
what do you mean ?,did you masturbate ?
she called you george george ., . . .did i win some contest ?
tradition .,it s all we have .
where is stephanie ?,upstairs . getting cleaned up .
kiss my ass .,well .
oh god no .,so not over her in fact .
tomorrow night .,no . tonight . it s important !
but what if they serve soup ?,then you use your u soup spoon u .
for getting a divorce ?,well . . . it is his third .
stand . . . ?,retire .
is he here ?,he s training .
where s my family ?,we re handling it sir .
a woman .,what color hair will she have ?
what am i gonna do ?,what do you want to do ?
we ve got the real thing !,where are you now . . .
what is ?,i told you .
there is a grave disturbance in the force .,i have felt it .
no .,but why ?
louis look at me .,i can t . go away from me .
no what did you say on the machine ?,i left him a message .
harvard bellevue john hopkins .,you re a friend of father dyer right ?
usually they take clothes .,why don t you give em a call .
jesus man . plus ten ?,yeah i guess .
promised ? who promised ?,there look !
send for my car . . .,his excellency s car !
to dander . otis .,oh .
y think ?,i sure do .
does he have the marked bills on him ?,in his inside coat pocket .
what ? what do you mean you ,sue . . . look at your hands .
winning the war by yourself .,part .
since the time of adams not washington .,how s that buddy ?
you re in on this .,i love you !
maybe you should go . to the sub .,why should i go ?
yeah go cart accident .,exactly ! a pirate !
this one lance ?,yeah jesus christ !
he called me chicken .,and your folks didn t understand ?
what do you want ?,the invasion plans .
it s her choice she s human ,oh as opposed to ?
no what ?,the movie .
for a fee .,for a fee .
yes .,barnett john triplette . how s she doing ?
no . i got a problem .,let s hear it .
one guy do all the damage ?,yeah .
yeah .,god ! unbelievable . vampires .
let it be broke .,can ya dig it ?
oh god laura .,well why not ?
queer .,what did you say ?
i can t . . . .,yes you can . . . .
all right . hold on .,the name s baker 
not driving jess you won t .,what ?
you just move in here ?,about two years ago .
jeremiah ?,yeah ?
i won t .,how long have i got ?
i don t know what to say .,i need your insight your intuition .
bastard ! i will kill you .,karl ! !
she s four feet tall . ed ?,ed ? how many people live here ?
oh i wasn t worried about that .,no ?
unless what ?,she s cheating on him .
no harm in your coming to see us .,not interested .
does he still love you ?,it didn t come up .
it s coming .,it certainly is .
what the hell you looking at girl ?,nothing jake . absolutely nothing .
quite impressive .,thank you herr doctor .
i knew you would .,new worlds create new people .
oh yeah !,right !
huh ?,this hair .
give me your phone .,they ll be able to track it .
hello is dick ritchie here ?,naw he ain t home right now .
aren t we stayin ?,no . we re not stayin 
oh . . .,dad !
of course they did .,let the buyer beware .
you ? personally ?,i had it on the island with me .
where are you going ?,i m taking a shower .
now what s this ?,give it to me !
is he a fireman ? i like firemen .,you like everybody ronald .
serious huh ?,yeah .
that s sweet .,well i do .
who s looking for you ?,go now .
death !,that s me .
i can handle it ,you ?
why is he saying these things ? !,they re gonna lynch him !
yes .,boyfriend ?
i ll go .,what ?
no . do you ?,no . not at the present .
what . . . ?,just a hunch .
now for the real question .,noooo . . . .
my home .,there is one more thing john . here .
so what s it going to be ?,well i ve paid for the ticket .
